season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2021,REG,10,Jaylen Waddle,WR,MIA,6.14166666666667,2.34302685413523,13.21,26.7833609299497,4,6,66.6666666666667,61,0,1.7225,1.72141437066705,0.00108562933295175,00-0036613,Jaylen,Waddle,17,J.Waddle
2021,REG,10,Kyle Pitts,TE,ATL,6.02857142857143,2.37147161730945,10.5342857142857,27.4892823858341,4,7,57.1428571428571,60,0,3.85,3.54464683846163,0.305353161538369,00-0036970,Kyle,Pitts,8,K.Pitts
2021,REG,10,Marcus Johnson,WR,TEN,5.99666666666667,3.42608899368625,9.4,34.5101878480083,5,6,83.3333333333333,100,0,13.158,8.46442667954038,4.69357332045962,00-0032980,Marcus,Johnson,88,M.Johnson
2021,REG,10,Keenan Allen,WR,LAC,5.95111111111111,2.77887603924296,9.01454545454545,52.9531133183809,8,11,72.7272727272727,98,0,4.47375,4.24584841634253,0.227901583657468,00-0030279,Keenan,Allen,13,K.Allen
2021,REG,10,Travis Kelce,TE,KC,5.87555555555556,3.41873439876798,5.843,15.6355365266256,8,10,80,119,0,9.37625,5.52057383508713,3.85567616491287,00-0030506,Travis,Kelce,87,T.Kelce
2021,REG,10,Chris Godwin,WR,TB,5.83125,3.55281657718169,3.435,16.2825146649286,7,8,87.5,57,0,6.01,4.01163629338381,1.99836370661619,00-0033921,Rod,Godwin,14,C.Godwin
2021,REG,10,Tyler Lockett,WR,SEA,5.69666666666667,2.41839821006452,24.455,41.9810308570448,2,8,25,23,0,0.265000000000001,2.61474515260279,-2.34974515260279,00-0032211,Tyler,Lockett,16,T.Lockett
2021,REG,10,Dan Arnold,TE,JAX,5.695,4.27346789394901,7.30375,17.5328572285903,5,8,62.5,67,0,5.784,3.47763315252741,2.30636684747258,00-0034011,Daniel,Arnold,85,D.Arnold
2021,REG,10,T.Y. Hilton,WR,IND,5.59,1.79118457825178,12.57,36.7522367113034,1,5,20,5,0,-0.960000000000001,1.10293286743718,-2.06293286743718,00-0029608,Eugene,Hilton,13,T.Hilton
2021,REG,10,Tyler Conklin,TE,MIN,5.526,2.40537316955103,11.22,22.5129419318592,3,5,60,11,2,0.983333333333334,1.47400254416213,-0.490669210828794,00-0034270,Tyler,Conklin,83,T.Conklin
2021,REG,10,Michael Pittman,WR,IND,5.52,3.33248604129588,10.518,30.7525875679785,5,5,100,71,0,3.682,5.29020410326215,-1.60820410326215,00-0036252,Michael,Pittman,11,M.Pittman
2021,REG,10,DK Metcalf,WR,SEA,5.46125,2.00619559656138,14.40375,24.7264065919918,3,8,37.5,26,0,1.09,2.91454570167325,-1.82454570167324,00-0035640,DeKaylin,Metcalf,14,D.Metcalf
2021,REG,10,Deebo Samuel,WR,SF,5.412,1.59964023021174,7.648,33.5173985450083,5,5,100,97,1,11.752,2.36357649225871,9.38842350774129,00-0035719,Tyshun,Samuel,19,D.Samuel
2021,REG,10,Amon-Ra St. Brown,WR,DET,5.32,2.42352653973366,8.13,41.9576810596938,4,6,66.6666666666667,61,0,11.925,9.57245502810872,2.35254497189128,00-0036963,Amon-Ra,St. Brown,14,A.St. Brown
